Time engk1       engi1       
  0.4365E-02  0.3218E+07  0.1614E+05
  0.4399E-02  0.3217E+07  0.1632E+05
  0.4433E-02  0.3217E+07  0.1650E+05
  0.4467E-02  0.3217E+07  0.1668E+05
  0.4501E-02  0.3217E+07  0.1686E+05
  0.4535E-02  0.3217E+07  0.1703E+05
  0.4569E-02  0.3216E+07  0.1722E+05
  0.4603E-02  0.3216E+07  0.1739E+05
  0.4637E-02  0.3216E+07  0.1757E+05
  0.4672E-02  0.3216E+07  0.1774E+05
  0.4706E-02  0.3216E+07  0.1792E+05
  0.4740E-02  0.3215E+07  0.1810E+05
  0.4774E-02  0.3215E+07  0.1829E+05
  0.4808E-02  0.3215E+07  0.1848E+05
  0.4842E-02  0.3215E+07  0.1868E+05
  0.4876E-02  0.3214E+07  0.1887E+05
  0.4910E-02  0.3214E+07  0.1907E+05
  0.4944E-02  0.3214E+07  0.1927E+05
  0.4978E-02  0.3214E+07  0.1946E+05
  0.5013E-02  0.3213E+07  0.1966E+05
  0.5047E-02  0.3213E+07  0.1985E+05
  0.5081E-02  0.3213E+07  0.2004E+05
  0.5115E-02  0.3213E+07  0.2023E+05
  0.5149E-02  0.3213E+07  0.2043E+05
  0.5183E-02  0.3212E+07  0.2062E+05
  0.5217E-02  0.3212E+07  0.2082E+05
  0.5251E-02  0.3212E+07  0.2101E+05
  0.5285E-02  0.3212E+07  0.2121E+05
  0.5319E-02  0.3211E+07  0.2141E+05
  0.5354E-02  0.3211E+07  0.2161E+05
  0.5388E-02  0.3211E+07  0.2181E+05
  0.5422E-02  0.3211E+07  0.2202E+05
  0.5456E-02  0.3210E+07  0.2224E+05
  0.5490E-02  0.3210E+07  0.2246E+05
  0.5524E-02  0.3210E+07  0.2269E+05
  0.5558E-02  0.3209E+07  0.2293E+05
  0.5592E-02  0.3209E+07  0.2317E+05
  0.5626E-02  0.3209E+07  0.2341E+05
  0.5660E-02  0.3209E+07  0.2365E+05
  0.5695E-02  0.3208E+07  0.2390E+05
  0.5729E-02  0.3208E+07  0.2414E+05
  0.5763E-02  0.3208E+07  0.2439E+05
  0.5797E-02  0.3207E+07  0.2464E+05
  0.5831E-02  0.3207E+07  0.2488E+05
  0.5865E-02  0.3207E+07  0.2513E+05
  0.5899E-02  0.3207E+07  0.2537E+05
